FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
114,2021-01-20,Falcon 9,15600,VLEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5,6,B1063,-80.6039558,28.6080585
115,2021-01-24,Falcon 9,1977,ISS,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
116,2021-02-04,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
117,2021-02-16,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
118,2021-03-04,Falcon 9,9525,ISS,KSC LC 39A,True RTLS,5,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.6039558,28.6080585
119,2021-03-11,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
120,2021-03-14,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,8,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.6039558,28.6080585
121,2021-03-24,Falcon 9,3880,MEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
122,2021-04-07,Falcon 9,,GEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.577366,28.5618571
123,2021-04-23,Falcon 9,15600,VLEO,KSC LC 39A,False ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.6039558,28.6080585
124,2021-04-29,Falcon 9,112,SSO,CCSFS SLC 40,True ASDS,8,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
125,2021-05-04,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
126,2021-05-09,Falcon 9,1600,SSO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
