,FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
24,25,22/12/2015,Falcon 9,2205,GTO,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571
25,26,17/01/2016,Falcon 9,1898,ISS,VAFB SLC 4E,False ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093
26,27,04/03/2016,Falcon 9,4707,GTO,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571
27,28,08/04/2016,Falcon 9,2477,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571
28,29,06/05/2016,Falcon 9,2034,LEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571
29,30,27/05/2016,Falcon 9,553,PO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571
30,31,15/06/2016,Falcon 9,5271,GTO,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1024,-80.577366,28.5618571
31,32,18/07/2016,Falcon 9,3136,ISS,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571
32,33,14/08/2016,Falcon 9,4696,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571
33,34,01/09/2016,Falcon 9,3100,GTO,CCSFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
